bfs_nr,commune_ofs,canton,join_key,premium_region,log_pop_density,pop_density_2024,is_urban,pct_hh_1p,pct_hh_2p,pct_hh_3p,pct_hh_4p,pct_hh_5p_plus,pct_large_hh,pct_small_hh,social_assistance_rate,social_assistance_count,avg_premium_2025,avg_premium_2026,median_premium_2026,std_premium_2026,p10_premium_2026,p90_premium_2026,iqr_premium_2026,n_insurers_2026,premium_increase_pct,n_insurers_change,sa_estimated,sa_count_est
1,Aeugst am Albis,ZH,ZH_H3,3,5.534179690270021,252.2,0.0,28.9,38.2,13.2,13.9,5.8,19.7,67.1,1.2,23.0,506.2,526.8,525.2,38.5,472.8,573.6,57.5,27.0,4.07,-2.0,0,0
2,Affoltern am Albis,ZH,ZH_H3,3,7.104472716059824,1216.4,1.0,36.3,32.9,12.6,12.4,5.8,18.2,69.19999999999999,2.4,314.0,506.2,526.8,525.2,38.5,472.8,573.6,57.5,27.0,4.07,-2.0,0,0
3,Bonstetten,ZH,ZH_H3,3,6.646130740849646,768.8,0.0,30.0,33.5,14.6,17.3,4.6,21.9,63.5,1.0,57.0,506.2,526.8,525.2,38.5,472.8,573.6,57.5,27.0,4.07,-2.0,0,0
4,Hausen am Albis,ZH,ZH_H3,3,5.675040005790547,290.5,0.0,30.8,35.2,12.9,14.4,6.6,21.0,66.0,1.3,51.0,506.2,526.8,525.2,38.5,472.8,573.6,57.5,27.0,4.07,-2.0,0,0
5,Hedingen,ZH,ZH_H3,3,6.419832048433451,612.9,0.0,28.9,35.1,14.2,15.6,6.1,21.7,64.0,1.2,47.0,506.2,526.8,525.2,38.5,472.8,573.6,57.5,27.0,4.07,-2.0,0,0
6,Kappel am Albis,ZH,ZH_H3,3,5.167639042905921,174.5,0.0,27.0,34.3,12.5,18.0,8.3,26.3,61.3,0.8,10.0,506.2,526.8,525.2,38.5,472.8,573.6,57.5,27.0,4.07,-2.0,0,0
7,Knonau,ZH,ZH_H3,3,5.945682354452854,381.1,0.0,25.5,34.8,14.1,17.8,7.8,25.6,60.3,0.9,23.0,506.2,526.8,525.2,38.5,472.8,573.6,57.5,27.0,4.07,-2.0,0,0
8,Maschwanden,ZH,ZH_H3,3,4.9788005705762375,144.3,0.0,28.4,39.4,12.8,12.8,6.6,19.4,67.8,1.5,0.0,506.2,526.8,525.2,38.5,472.8,573.6,57.5,27.0,4.07,-2.0,0,0
9,Mettmenstetten,ZH,ZH_H3,3,6.094246741751008,442.3,0.0,27.3,34.6,13.7,16.9,7.6,24.5,61.900000000000006,1.5,83.0,506.2,526.8,525.2,38.5,472.8,573.6,57.5,27.0,4.07,-2.0,0,0
10,Obfelden,ZH,ZH_H3,3,6.67405621372841,790.6,0.0,29.3,34.7,13.0,16.5,6.4,22.9,64.0,2.1,126.0,506.2,526.8,525.2,38.5,472.8,573.6,57.5,27.0,4.07,-2.0,0,0
11,Ottenbach,ZH,ZH_H3,3,6.385531610263777,592.2,0.0,28.8,36.9,13.8,15.0,5.5,20.5,65.7,2.1,61.0,506.2,526.8,525.2,38.5,472.8,573.6,57.5,27.0,4.07,-2.0,0,0
12,Rifferswil,ZH,ZH_H3,3,5.205653681684617,181.3,0.0,28.4,33.8,12.9,17.4,7.5,24.9,62.199999999999996,1.0,11.0,506.2,526.8,525.2,38.5,472.8,573.6,57.5,27.0,4.07,-2.0,0,0
13,Stallikon,ZH,ZH_H3,3,5.787510690186913,325.2,0.0,26.1,37.1,14.4,17.2,5.2,22.4,63.2,0.7,29.0,506.2,526.8,525.2,38.5,472.8,573.6,57.5,27.0,4.07,-2.0,0,0
14,Wettswil am Albis,ZH,ZH_H3,3,7.256014913319522,1415.6,1.0,26.8,34.6,15.6,18.1,5.0,23.1,61.400000000000006,1.3,68.0,506.2,526.8,525.2,38.5,472.8,573.6,57.5,27.0,4.07,-2.0,0,0
22,Benken (ZH),ZH,ZH_H3,3,5.056245805348308,156.0,0.0,32.3,36.2,10.6,13.5,7.4,20.9,68.5,1.0,8.0,506.2,526.8,525.2,38.5,472.8,573.6,57.5,27.0,4.07,-2.0,1,1
23,Berg am Irchel,ZH,ZH_H3,3,4.442651256490317,84.0,0.0,28.9,43.7,11.0,10.6,5.7,16.3,72.6,2.2,13.0,506.2,526.8,525.2,38.5,472.8,573.6,57.5,27.0,4.07,-2.0,1,1
24,Buch am Irchel,ZH,ZH_H3,3,4.657762636107262,104.4,0.0,24.2,38.2,15.4,15.2,6.9,22.1,62.400000000000006,1.5,0.0,506.2,526.8,525.2,38.5,472.8,573.6,57.5,27.0,4.07,-2.0,1,1
25,Dachsen,ZH,ZH_H3,3,6.571303042160927,713.3,0.0,27.9,39.5,11.9,14.9,5.8,20.7,67.4,1.6,32.0,506.2,526.8,525.2,38.5,472.8,573.6,57.5,27.0,4.07,-2.0,1,1
26,Dorf,ZH,ZH_H3,3,4.882044059723269,130.9,0.0,25.7,35.6,15.8,19.1,3.6,22.700000000000003,61.3,1.5,0.0,506.2,526.8,525.2,38.5,472.8,573.6,57.5,27.0,4.07,-2.0,1,1
27,Feuerthalen,ZH,ZH_H3,3,7.34768622397158,1551.6,1.0,36.5,33.1,13.6,11.8,5.0,16.8,69.6,1.9,72.0,506.2,526.8,525.2,38.5,472.8,573.6,57.5,27.0,4.07,-2.0,1,1
28,Flaach,ZH,ZH_H3,3,4.996536369716754,146.9,0.0,32.7,36.0,14.0,10.4,6.9,17.3,68.7,2.3,34.0,506.2,526.8,525.2,38.5,472.8,573.6,57.5,27.0,4.07,-2.0,1,1
29,Flurlingen,ZH,ZH_H3,3,6.444290226575984,628.1,0.0,29.1,37.2,13.6,14.3,5.7,20.0,66.30000000000001,0.7,11.0,506.2,526.8,525.2,38.5,472.8,573.6,57.5,27.0,4.07,-2.0,1,1
